type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2023-08-14T01:51:21.597+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2023-08-14T01:51:21.590+00:00,null
CALORIES_BURNED_GOAL,DAILY,2033.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-12-30,2023-12-31,2023-08-13T01:11:37.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-12-30,2023-12-31,2023-08-13T01:11:37.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-08-12,2023-08-13,2023-08-13T01:11:37.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-12-30,2023-12-31,2023-08-13T01:11:37.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-12-30,2023-12-31,2023-08-13T01:11:37.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,38795.0,INPROGRESS_SO_FAR_MISSED,true,2023-12-24,2023-12-31,2023-08-13T01:11:37.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,17.4657,INPROGRESS_SO_FAR_MISSED,false,2023-12-24,2023-12-31,2023-08-13T01:11:37.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-08-06,2023-08-13,2023-08-13T01:11:37.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,14231.0,9890.0,INPROGRESS_SO_FAR_MISSED,false,2023-12-24,2023-12-31,2023-08-13T01:11:37.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-08-06,2023-08-13,2023-08-13T01:11:37.000+00:00,null
