timestamp,bucket_values
2023-09-09T08:53:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.003, 0.005, 0.04, 0.134, 0.131, 0.124, 0.158, 0.18, 0.127, 0.06, 0.021, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-10T10:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.001, 0.002, 0.004, 0.012, 0.032, 0.09, 0.191, 0.281, 0.231, 0.106, 0.034, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-11T09:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.01, 0.03, 0.105, 0.207, 0.235, 0.191, 0.118, 0.066, 0.02, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-14T08:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.002, 0.002, 0.002, 0.008, 0.02, 0.05, 0.095, 0.159, 0.234, 0.23, 0.137, 0.045, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-15T07:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.003, 0.004, 0.013, 0.058, 0.106, 0.127, 0.172, 0.212, 0.173, 0.09, 0.027, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-16T08:18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.003, 0.018, 0.066, 0.11, 0.108, 0.12, 0.187, 0.199, 0.119, 0.045, 0.014, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-17T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.007, 0.005, 0.004, 0.008, 0.012, 0.023, 0.054, 0.207, 0.284, 0.184, 0.111, 0.055, 0.027, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-18T08:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.002, 0.004, 0.011, 0.039, 0.122, 0.15, 0.152, 0.185, 0.193, 0.099, 0.029, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-19T07:05:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.008, 0.008, 0.014, 0.021, 0.04, 0.15, 0.323, 0.205, 0.141, 0.051, 0.02, 0.008, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-25T08:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.008, 0.049, 0.094, 0.101, 0.171, 0.254, 0.2, 0.087, 0.024, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-27T09:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.002, 0.005, 0.014, 0.044, 0.101, 0.197, 0.289, 0.235, 0.086, 0.015, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-28T07:14:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.007, 0.01, 0.016, 0.027, 0.052, 0.116, 0.174, 0.154, 0.18, 0.151, 0.073, 0.025, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-29T08:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.004, 0.007, 0.019, 0.067, 0.15, 0.237, 0.254, 0.17, 0.066, 0.017, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-09-30T08:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.01, 0.071, 0.15, 0.112, 0.125, 0.204, 0.199, 0.084, 0.029, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
