timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-09-09T08:53:30,18.8,2.1,6.434,18.8,2.1,6.434,17.8,2.1,5.952,17.4,3.2,8.638
2023-09-10T10:15:30,18.6,1.5,7.475,18.6,1.5,7.475,17.8,1.5,6.201,27.6,0.4,2.878
2023-09-11T09:23:30,19.0,0.8,4.848,19.0,0.8,4.848,18.2,1.8,9.926,19.6,0.6,2.565
2023-09-14T08:59:30,18.2,1.7,8.238,14.4,1.1,2.725,18.2,1.7,8.238,28.2,0.7,2.957
2023-09-15T07:37:30,17.8,1.7,10.533,19.8,0.7,3.907,17.8,1.7,10.533,18.2,2.6,6.962
2023-09-16T08:18:30,18.8,1.1,7.524,18.8,1.1,7.524,18.0,2.3,16.797,16.8,0.7,2.831
2023-09-17T07:54:30,15.6,0.6,5.575,15.6,0.6,5.575,15.6,1.0,2.922,10.2,1.3,4.061
2023-09-18T08:08:30,18.6,1.3,5.939,18.6,1.3,5.939,17.8,2.5,7.905,18.2,3.2,8.675
2023-09-19T07:05:00,16.0,0.7,6.356,16.0,0.7,6.356,15.8,1.0,4.031,-1.0,0.0,1.726
2023-09-25T08:59:30,18.4,1.5,6.433,18.4,1.5,6.433,18.2,1.8,9.803,0.4,0.3,3.095
2023-09-27T09:13:30,17.6,1.4,7.133,17.6,1.4,7.133,17.0,2.5,15.817,-1.0,0.0,2.043
2023-09-28T07:14:30,15.6,1.0,5.359,15.4,0.5,3.453,15.6,1.0,5.359,17.2,0.8,2.975
2023-09-29T08:27:30,17.8,2.4,5.398,17.8,2.4,5.398,18.0,1.7,13.894,17.4,2.7,6.497
2023-09-30T08:59:30,18.4,1.6,4.409,18.4,1.6,4.409,17.2,1.9,9.886,16.2,1.0,3.183
