sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
43994420108,2023-12-30T08:25:30Z,82,,82,,62,56,0.050505050505050504
43984530476,2023-12-29T08:07:00Z,81,,81,,61,55,0.06824925816023739
43972352505,2023-12-28T08:10:30Z,78,,78,,64,57,0.06350914962325081
43952349702,2023-12-26T10:04:00Z,84,,84,,58,58,0.048859934853420196
43940484767,2023-12-25T09:50:00Z,89,,89,,100,59,0.053800170794193
43931339101,2023-12-24T09:23:00Z,76,,76,,78,58,0.08748824082784572
43921105730,2023-12-23T10:16:30Z,78,,78,,54,59,0.07886435331230283
43908432437,2023-12-22T07:16:30Z,77,,77,,60,58,0.07237635705669482
43896980768,2023-12-21T08:56:00Z,85,,85,,61,58,0.04158004158004158
43885572559,2023-12-20T08:13:30Z,84,,84,,84,57,0.07979274611398963
43874634228,2023-12-19T09:01:00Z,75,,75,,67,56,0.07809330628803246
43862187799,2023-12-18T08:48:30Z,81,,81,,55,56,0.061224489795918366
43850443752,2023-12-17T09:26:30Z,85,,85,,61,57,0.05410628019323672
43840644380,2023-12-16T08:27:30Z,90,,90,,82,58,0.05291479820627803
43830097010,2023-12-15T09:32:30Z,80,,80,,27,59,0.11481156879929887
43819656826,2023-12-14T09:04:30Z,86,,86,,91,60,0.06654835847382432
43795178999,2023-12-12T07:39:30Z,56,,56,,47,58,0.14027630180658873
43786135845,2023-12-11T09:10:00Z,82,,82,,64,58,0.040586245772266064
43763955153,2023-12-09T08:47:00Z,87,,87,,114,58,0.08100558659217877
43753067241,2023-12-08T09:23:30Z,81,,81,,84,58,0.07718405428329092
43745840509,2023-12-07T08:10:00Z,80,,80,,64,56,0.061027837259100645
43727694683,2023-12-06T09:02:30Z,84,,84,,65,57,0.07590467784642542
43714487961,2023-12-05T09:19:30Z,86,,86,,77,58,0.05545454545454546
43714487960,2023-12-04T09:21:00Z,82,,82,,63,58,0.03096774193548387
43692222552,2023-12-03T10:18:30Z,88,,88,,99,57,0.05069124423963134
43680485151,2023-12-02T09:03:30Z,78,,78,,68,55,0.07783251231527094
