type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-08-14T23:55,2023-08-15T06:59,424,33.409433962264146,NaN,NaN,NaN,NaN
IDT,2023-08-17T23:07:30,2023-08-18T07:58:30,519,33.86011560693642,NaN,NaN,NaN,NaN
IDT,2023-08-19T00:27,2023-08-19T08:07:30,456,32.891666666666666,-236.1018867924504,832.1541687431745,0.4846115742090839,1.2490949104202491
IDT,2023-08-21T00:12:30,2023-08-21T08:07:30,475,33.792210526315785,90.90943396226612,86.30017933342606,0.44452207559143825,0.9814467687824033
IDT,2023-08-21T23:51,2023-08-22T09:08:30,553,33.67757685352622,0.0,287.38195298356004,0.39415829406694086,0.8963968022019121
IDT,2023-08-22T23:55:30,2023-08-23T07:30:30,455,33.53626373626374,-32.148734177213555,387.98316727299243,0.3525698313775453,0.9022388792562379
IDT,2023-08-24T00:02,2023-08-24T08:12:30,491,33.176578411405295,-176.6054945054966,486.903056394076,0.34816388998961206,0.9139979289154708
IDT,2023-08-24T23:42,2023-08-25T07:30:30,466,31.915450643776826,-725.7475637569951,1305.9867087965831,0.6395123759183502,1.0152847120039203
IDT,2023-08-28T00:31,2023-08-28T07:59:30,449,34.21002227171492,302.5175824175785,700.068703055149,0.6733949925170625,1.0807981581785184
IDT,2023-08-29T00:48:30,2023-08-29T09:18:30,510,33.533725490196076,-0.6472527472542424,470.3207430120092,0.6366113082018202,1.0685091187733253
IDT,2023-08-30T00:17:30,2023-08-30T08:37:30,497,33.304627766599594,-113.86156862744974,995.5047823144123,0.6046310823322731,1.1109352986525478
